07-09-2016T00:00:00 - morning , Flat Tire, Mechanical Problem, Weather Conditions, 
08-09-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Won`t Start, Mechanical Problem, 
09-09-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Other, Mechanical Problem, 
12-09-2016T00:00:00 - morning , Flat Tire, Delayed by School, Other, 
13-09-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Other, 
14-09-2016T00:00:00 - morning , Heavy Traffic, Other, Problem Run, 
15-09-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Mechanical Problem, Problem Run, Heavy Traffic, 
16-09-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
19-09-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Problem Run, 
20-09-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Other, Flat Tire, 
21-09-2016T00:00:00 - afternoon , Heavy Traffic, Problem Run, Other, morning , Heavy Traffic, Won`t Start, Other, 
22-09-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Mechanical Problem, Heavy Traffic, Other, 
23-09-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Weather Conditions, Other, 
26-09-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Flat Tire, 
27-09-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Weather Conditions, Flat Tire, 
28-09-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Problem Run, Other, 
